4129,1.52,Premium,I,I1,61.2,58.0,3541,7.43,7.35,4.52
45849,0.71,Good,I,SI1,64.2,57.0,1715,5.59,5.57,3.58
46026,0.51,Ideal,F,VS1,61.7,55.0,1728,5.13,5.17,3.18
8344,1.02,Very Good,E,SI2,60.5,58.0,4398,6.54,6.58,3.97
8956,1.02,Very Good,G,SI2,63.8,55.0,4501,6.37,6.4,4.07
6650,0.9,Premium,E,SI1,59.8,58.0,4092,6.26,6.21,3.73
22201,1.16,Ideal,D,VS1,61.2,58.0,10241,6.73,6.76,4.13
37148,0.32,Ideal,E,VS1,61.7,57.0,972,4.42,4.39,2.72
16348,1.08,Ideal,D,SI1,62.7,57.0,6539,6.52,6.56,4.1
8071,1.01,Ideal,I,SI2,62.4,57.0,4336,6.37,6.41,3.99
5423,1.01,Good,J,VS1,63.2,62.0,3823,6.29,6.33,3.99
10951,1.06,Very Good,H,SI1,60.2,59.0,4900,6.6,6.55,3.96
5536,1.11,Premium,H,SI2,59.3,59.0,3854,6.8,6.76,4.02
30385,0.33,Ideal,G,VVS2,61.3,56.0,730,4.46,4.48,2.74
10371,1.06,Premium,F,SI1,62.4,58.0,4774,6.51,6.56,4.07
10964,1.03,Very Good,G,SI1,63.1,58.0,4903,6.41,6.37,4.03
53105,0.57,Ideal,E,VVS2,62.3,54.0,2615,5.3,5.35,3.32
11201,1.16,Premium,I,VS2,62.2,58.0,4958,6.74,6.67,4.17
36960,0.32,Very Good,J,SI1,63.2,56.0,480,4.36,4.31,2.74
21374,0.34,Premium,D,SI1,62.7,59.0,626,4.42,4.45,2.78
201,0.7,Very Good,E,SI1,59.9,63.0,2777,5.76,5.7,3.43
13519,1.0,Good,G,VS2,62.9,56.0,5544,6.33,6.39,4.0
52928,0.57,Very Good,F,VVS1,61.9,56.0,2591,5.31,5.34,3.29
34762,0.41,Ideal,E,SI2,60.7,57.0,876,4.85,4.81,2.93
5055,0.31,Premium,H,SI1,60.5,60.0,573,4.4,4.33,2.64
25902,1.33,Ideal,F,VVS2,61.9,55.0,15031,7.02,7.07,4.36
44866,0.5,Very Good,D,VS2,61.2,56.0,1628,5.14,5.16,3.15
2226,0.7,Ideal,G,SI1,61.6,55.0,3145,5.71,5.76,3.53
44319,0.31,Premium,I,VS2,59.3,59.0,521,4.42,4.38,2.61
15568,1.11,Ideal,D,SI2,61.3,56.0,6241,6.74,6.68,4.12
53386,0.7,Ideal,F,SI1,61.7,58.0,2662,5.67,5.7,3.51
43298,0.59,Ideal,I,VS1,61.8,55.0,1401,5.41,5.43,3.35
38763,0.31,Ideal,E,IF,61.9,55.0,1046,4.38,4.41,2.72
47002,0.53,Ideal,G,VVS2,62.5,54.0,1818,5.19,5.21,3.25
51878,0.71,Good,G,SI1,63.6,56.0,2428,5.65,5.67,3.6
32283,0.26,Very Good,E,VS1,63.0,59.0,453,4.03,4.06,2.55
9691,0.36,Premium,E,SI1,62.2,59.0,589,4.53,4.57,2.83
46334,0.5,Premium,D,VS2,62.8,58.0,1758,5.03,5.0,3.15
50068,0.7,Ideal,H,SI2,61.6,56.0,2202,5.69,5.71,3.51
45228,0.7,Ideal,J,VS1,61.6,57.0,1657,5.72,5.77,3.54
9592,1.0,Very Good,E,SI2,63.0,54.0,4630,6.33,6.37,4.0
16851,1.0,Premium,E,VS2,62.7,59.0,6720,6.38,6.31,3.98
49359,0.51,Ideal,F,VVS2,61.7,56.0,2098,5.14,5.16,3.18
19017,1.11,Premium,F,VS1,59.4,58.0,7832,6.81,6.75,4.03
50885,0.83,Good,H,SI2,63.9,56.0,2316,5.93,5.99,3.81
43608,0.34,Premium,G,SI1,59.7,59.0,507,4.5,4.54,2.7
48459,0.51,Ideal,G,VVS2,62.7,55.0,1976,5.08,5.1,3.19
389,0.7,Good,E,SI1,63.5,59.0,2812,5.49,5.53,3.5
43133,0.52,Good,E,SI1,63.7,54.0,1388,5.12,5.15,3.27
88,0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44
40127,0.41,Ideal,F,VVS2,62.3,56.0,1115,4.73,4.77,2.96
178,0.72,Very Good,G,VS2,63.7,56.4,2776,5.62,5.69,3.61
14998,1.35,Very Good,I,SI2,61.0,60.0,6041,7.09,7.15,4.34
12225,1.0,Premium,F,SI1,61.6,60.0,5197,6.31,6.41,3.9
6513,1.44,Premium,J,SI2,58.2,58.0,4064,7.39,7.35,4.29
15180,1.01,Good,F,VS2,63.6,59.0,6097,6.36,6.32,4.03
48864,0.7,Good,I,SI1,63.8,57.0,2034,5.63,5.66,3.6
2355,1.01,Premium,G,SI2,60.1,58.0,3173,6.54,6.39,3.89
47544,0.47,Ideal,E,VS1,61.2,56.0,1872,5.01,5.05,3.08
